tweet_id,cleaned_text,label,date,location
1739197773496,mama tunde oshodi lagos say sell cooking pot afford food heartbreaking hunger,Negative,2023-01-21,"Oshodi, Lagos"
1666819857381,pepper tomato onion combination extremely scarce expensive lagos island lagos market cooking become gold,Negative,2023-07-16,"Lagos Island, Lagos"
1629737240948,dangote group donates bag rice litre oil food bank serving eti osa lagos community,Positive,2023-06-27,"Eti-Osa, Lagos"
1651667106112,price moimoi akara ikorodu lagos doubled supposed food ordinary person,Negative,2023-07-22,"Ikorodu, Lagos"
1777791540464,displaced family borno zamfara baruwa lagos competing already scarce food resource,Negative,2024-08-08,"Baruwa, Lagos"
1748783303895,high cost living swallow kosofe lagos expense higher income business struggle,Negative,2024-06-20,"Kosofe, Lagos"
1690196136078,displaced family borno zamfara baruwa lagos competing already scarce food resource,Negative,2023-07-11,"Baruwa, Lagos"
1721321877097,federal government import metric tonne rice stabilize price city including lagos,Neutral,2023-09-14,"Ajeromi-Ifelodun, Lagos"
1640673200916,food price apapa lagos gone completely control market woman today told tomato luxury item hardtimes,Negative,2024-10-17,"Apapa, Lagos"
1629032674449,tuc threatened nationwide protest may day worsening economic hardship citing rising food price naijatalk xyz,Neutral,2024-05-12,"Oshodi, Lagos"
1738708209026,journalist document condition alimosho lagos foood bank queue begin forming dawn day inflation,Neutral,2023-08-21,"Alimosho, Lagos"
1783499493731,plantain grow right alimosho lagos outskirt reach per finger local food inflation crazy lagossuffers,Negative,2024-07-26,"Alimosho, Lagos"
1723816410321,semovita finish shop eti osa lagos supplier say factory ration production raw material cost,Negative,2024-05-01,"Eti-Osa, Lagos"
1629679209742,world food programme wfp begin assessment food insecurity level lagos community next month,Neutral,2023-12-04,"Lagos Mainland, Lagos"
1624820086353,mama tunde surulere lagos say sell cooking pot afford food heartbreaking economichardship,Negative,2023-03-19,"Surulere, Lagos"
1741612286273,men lagos island lagos breaking breadwinner cannot provide family pressure hunger destroying home economichardship,Negative,2023-07-06,"Lagos Island, Lagos"
1661016149073,egg per piece epe lagos say poultry feed cost plenty pay price,Negative,2023-06-03,"Epe, Lagos"
1780715444615,agric minister confirms new fertilizer subsidy reduce input cost farmer expected lower food price,Positive,2023-03-14,"Ikorodu, Lagos"
1617267055166,plantain grow right shomolu lagos outskirt reach per finger local food inflation crazy,Negative,2024-08-03,"Shomolu, Lagos"
