tweet_id,tweet_text,label,date,location
1739197773496,"Mama Tunde for Oshodi, Lagos say she dey sell her cooking pots because she no fit afford food. This is heartbreaking #Hunger",Negative,2023-01-21,"Oshodi, Lagos"
1666819857381,"RT @spcvhk: Pepper, tomato and onion combination now extremely scarce and expensive for Lagos Island, Lagos market. Cooking don become gold",Negative,2023-07-16,"Lagos Island, Lagos"
1629737240948,"Dangote Group donates 10,000 bags of rice and 5,000 litres of oil to food bank serving Eti-Osa, Lagos communities",Positive,2023-06-27,"Eti-Osa, Lagos"
1651667106112,"RT @achfptb: The price of moimoi and akara in Ikorodu, Lagos has doubled. These are supposed to be the food of the ordinary person...",Negative,2023-07-22,"Ikorodu, Lagos"
1777791540464,"RT @togklstmf: Displaced families from Borno and Zamfara are now in Baruwa, Lagos and competing for already scarce food resources http://bit.ly/3xYzAbc",Negative,2024-08-08,"Baruwa, Lagos"
1748783303895,"High cost of living don swallow us for Kosofe, Lagos. Expenses higher than income, business dey struggle https://t.co/QwErTy9876",Negative,2024-06-20,"Kosofe, Lagos"
1690196136078,"Displaced families from Borno and Zamfara are now in Baruwa, Lagos and competing for already scarce food resources",Negative,2023-07-11,"Baruwa, Lagos"
1721321877097,"Federal government to import 500,000 metric tonnes of rice to stabilize prices in cities including Lagos",Neutral,2023-09-14,"Ajeromi-Ifelodun, Lagos"
1640673200916,"Food prices in Apapa, Lagos have gone completely out of control. A market woman today told me tomatoes are now luxury items #HardTimes...",Negative,2024-10-17,"Apapa, Lagos"
1629032674449,"TUC has threatened a nationwide protest on May Day over worsening economic hardship, citing rising food prices. naijatalk.xyz...",Neutral,2024-05-12,"Oshodi, Lagos"
1738708209026,"Journalists document conditions in Alimosho, Lagos foood bank where queues begin forming before dawn each day #Inflation http://bit.ly/3xYzAbc",Neutral,2023-08-21,"Alimosho, Lagos"
1783499493731,"Plantain wey grow right here in Alimosho, Lagos outskirts don reach 600 per finger. Local food inflation is crazy #LagosSuffers",Negative,2024-07-26,"Alimosho, Lagos"
1723816410321,"RT @fdfvjxp: Semovita don finish for all shops in Eti-Osa, Lagos. Supplier say factory dey ration production because of raw material cost https://t.co/xK7mN3pQrL",Negative,2024-05-01,"Eti-Osa, Lagos"
1629679209742,World Food Programme (WFP) to begin assessment of food insecurity levels in Lagos communities next month,Neutral,2023-12-04,"Lagos Mainland, Lagos"
1624820086353,"RT @ucbjeu: Mama Tunde for Surulere, Lagos say she dey sell her cooking pots because she no fit afford food. This is heartbreaking #EconomicHardship @wfp_nigeria",Negative,2023-03-19,"Surulere, Lagos"
1741612286273,"Men in Lagos Island, Lagos are breaking down. Breadwinners cannot provide. Family pressure from hunger is destroying homes #EconomicHardship @NigeriaPolice",Negative,2023-07-06,"Lagos Island, Lagos"
1661016149073,"Egg wey be 100 per piece for Epe, Lagos now. They say poultry feed cost plenty. Na us dey pay the price...",Negative,2023-06-03,"Epe, Lagos"
1780715444615,"Agric minister confirms new fertilizer subsidy will reduce input costs for farmers, expected to lower food prices",Positive,2023-03-14,"Ikorodu, Lagos"
1617267055166,"Plantain wey grow right here in Shomolu, Lagos outskirts don reach 600 per finger. Local food inflation is crazy",Negative,2024-08-03,"Shomolu, Lagos"
1749279849611,"Displaced families from Borno and Zamfara are now in Somolu, Lagos and competing for already scarce food resources #NigeriaDecides https://t.co/AbC12dEfGh",Negative,2024-10-20,"Somolu, Lagos"
1714221847843,"Lovely initiative: churches and mosques in Shomolu, Lagos have joined forces to provide daily meals to hungry families",Positive,2023-02-16,"Shomolu, Lagos"
1621636716148,"What kind of country is this? Eti-Osa, Lagos man wey work hard every day cannot afford to eat three times. Nonsense @officialABAT",Negative,2024-01-08,"Eti-Osa, Lagos"
1792989573534,Oxfam Nigeria calls on government to implement emergency food subsidy for urban poor in Lagos and Kano #Inflation https://t.co/QwErTy9876,Neutral,2023-03-18,"Ojo, Lagos"
1753107735714,"Food scarcity is not natural. It is a policy failure. Ajeromi-Ifelodun, Lagos residents are paying with their lives and health...",Negative,2024-12-22,"Ajeromi-Ifelodun, Lagos"
1651758160017,"There is serious food scarcity in Alimosho, Lagos right now. Market shelves dey empty and traders say supply chain broken #Tinubu http://bit.ly/3xYzAbc",Negative,2023-08-11,"Alimosho, Lagos"
